RESTAURANTS,RATINGS
Pizza Hut,4.1 ?
Wow! Momo,4.4 ?
Barbeque Nation,3.8 ?
MOJO Pizza - 2X Toppings,4.5 ?
NIC Ice Creams,4.7 ?
Domino's Pizza,4.5 ?
Grameen Kulfi,4.7 ?
NH1 Bowls - Highway To North,4.5 ?
Daily Kitchen - Homely Meals,4.5 ?
Baskin Robbins - Ice Cream Desserts,4.5 ?
BOX8 - Desi Meals,4.4 ?
Kwality Walls Frozen Dessert and Ice Cream Shop,4.6 ?
Krazy For Chocolates,4.3 ?
Momo I Am,4.5 ?
LeanCrust Pizza- ThinCrust Experts,4.5 ?
ZAZA Mughal Biryani,4.2 ?
"Bhatti Chicken - Grilled, NOT Fried!",4.5 ?
Itminaan Matka Biryani - Slow Cooked,3.9 ?
Mealful Rolls - India's Biggest Rolls,4.5 ?
La Pino'z Pizza,4.1 ?
UBQ by Barbeque Nation,3.9 ?
Wow! Momo,4.4 ?
Barbeque Nation,3.8 ?
MOJO Pizza - 2X Toppings,4.5 ?
NIC Ice Creams,4.7 ?
Golbari,4.1 ?
Domino's Pizza,4.5 ?
Chinese Wall,4.2 ?
Chandigarh Hotel,4 ?
Grameen Kulfi,4.7 ?
